PLAYER,Cut Scoring Percentile,Off-Screen Scoring Percentile
James Harden,0.419,0.414
Solomon Hill,0.308,0.357
Elie Okobo,0.048,0.242
Damyean Dotson,0.079,0.815
Seth Curry,0.159,0.718
Miles Bridges,0.485,0.286
Terrance Ferguson,0.361,0.533
Trevor Ariza,0.242,0.648
Jalen Brunson,0.176,0.559
Lonnie Walker IV,0.414,0.057
Royce O'Neale,0.344,0.07
Shai Gilgeous-Alexander,0.33,0.26
Emmanuel Mudiay,0.057,0.189
Marvin Williams,0.449,0.308
Coby White,0.013,0.405
Isaiah Thomas,0.163,0.542
Wilson Chandler,0.04,0.392
Mario Hezonja,0.383,0.062
Allen Crabbe,0.128,0.551
Frank Ntilikina,0.084,0.233
Aaron Holiday,0.145,0.379
Jordan McRae,0.097,0.52
Kris Dunn,0.009,0.251
Matthew Dellavedova,0.123,0.194
Darius Bazley,0.225,0.088
Raul Neto,0.018,0.203
Rodney Hood,0.172,0.211
Dwayne Bacon,0.07,0.502
Gary Trent Jr.,0.167,0.401
Jevon Carter,0.004,0.004
Shabazz Napier,0.132,0.256
Vince Carter,0.093,0.454
Reggie Jackson,0.181,0.247
Rajon Rondo,0.062,0.22
Carmelo Anthony,0.194,0.181
Chris Paul,0.022,0.198
Austin Rivers,0.026,0.225
Jeff Teague,0.075,0.238
Cedi Osman,0.115,0.207
